"ID","LONGDISTANCE","INTERNATIONAL","LOCAL","DROPPED","PAYMETHOD","LOCALBILLTYPE","LONGDISTANCEBILLTYPE","USAGE","RATEPLAN","GENDER","STATUS","CHILDREN","ESTINCOME","CAROWNER","AGE","CHURN"
"1","23","0","206","0","CC","Budget","Intnl_discount","229","3","F","S","1","38000.00","N","24.393333","T"
"6","29","0","45","0","CH","FreeLocal","Standard","75","2","M","M","2","29616.00","N","49.426667","F"
"8","24","0","22","0","CC","FreeLocal","Standard","47","3","M","M","0","19732.80","N","50.673333","F"
"11","26","0","32","1","CC","Budget","Standard","59","1","M","S","2","96.33","N","56.473333","F"
"17","12","0","46","4","CC","FreeLocal","Standard","58","1","M","M","2","53010.80","N","18.84","F"
"21","20","0","13","0","CC","Budget","Standard","34","3","M","M","0","19749.30","N","60.366667","F"
"22","9","0","38","0","CC","Budget","Standard","48","2","M","S","1","57626.90","Y","43.906667","F"
"24","17","4","49","1","Auto","FreeLocal","Standard","72","2","F","M","2","47902.00","N","26.033333","F"
"29","22","0","178","0","CC","Budget","Standard","200","3","M","M","1","7545.96","Y","16.753333","T"
"35","0","0","28","0","CC","FreeLocal","Standard","29","4","F","S","0","78851.30","N","48.373333","T"
"36","22","0","13","0","Auto","Budget","Standard","36","4","F","S","1","17540.70","Y","62.786667","T"
"38","26","0","12","0","CC","FreeLocal","Standard","38","4","F","M","2","28220.80","N","38.766667","T"
"40","13","0","87","0","CC","FreeLocal","Standard","100","4","F","S","0","28589.10","N","15.60","T"
"42","13","8","56","0","CC","Budget","Standard","78","2","F","M","2","5237.63","N","48.753333","F"
"45","11","1","22","0","CC","FreeLocal","Standard","36","2","M","S","2","89459.90","N","53.28","T"
"48","14","0","25","0","CC","Budget","Standard","40","1","F","S","1","13576.50","N","39.426667","T"
"52","4","0","91","1","CC","Budget","Standard","96","3","F","M","2","67388.00","N","53.12","T"
"53","16","0","81","0","CH","Budget","Standard","98","4","F","M","1","57063.00","Y","52.333333","F"
"54","3","0","11","1","CC","Budget","Standard","15","2","F","M","2","84166.10","N","54.013333","T"
"60","11","0","50","0","CC","FreeLocal","Standard","61","4","F","S","1","7737.94","N","42.666667","T"
"63","12","0","163","0","CC","Budget","Intnl_discount","175","1","F","M","2","59613.10","N","34.32","T"
"68","18","0","59","0","CC","FreeLocal","Standard","77","3","F","S","2","9559.78","N","51.38","T"
"73","26","0","9","0","Auto","FreeLocal","Intnl_discount","35","4","F","M","2","83284.10","Y","28.42","F"
"77","9","4","111","0","Auto","Budget","Intnl_discount","125","4","M","S","0","3601.71","N","49.266667","T"
"78","18","0","20","0","CH","FreeLocal","Intnl_discount","39","4","F","M","0","72642.60","N","27.646667","F"
"79","20","8","13","0","CC","FreeLocal","Standard","43","4","F","S","0","98716.30","N","55.66","T"
"81","14","8","10","0","CH","FreeLocal","Standard","33","4","F","M","2","84789.30","N","50.433333","T"
"83","18","0","31","0","Auto","FreeLocal","Intnl_discount","50","4","F","M","2","35976.50","Y","48.853333","T"
"85","24","0","20","0","CH","FreeLocal","Intnl_discount","44","4","F","M","1","77129.10","Y","61.846667","F"
"86","15","0","24","0","CH","FreeLocal","Standard","39","3","F","M","2","8204.72","N","52.973333","F"
"88","2","8","17","0","CC","FreeLocal","Standard","28","4","F","M","0","80405.10","N","60.226667","F"
"90","16","1","125","0","CC","FreeLocal","Intnl_discount","142","2","M","S","0","64136.60","Y","61.106667","T"
"92","24","0","73","0","CH","FreeLocal","Standard","97","2","F","M","2","45429.70","Y","61.713333","T"
"94","9","0","11","0","CC","FreeLocal","Standard","21","1","F","S","0","25285.50","N","53.986667","T"
"95","20","0","41","1","CC","Budget","Intnl_discount","62","2","F","M","2","77551.10","Y","33.60","F"
"96","22","8","16","0","CC","FreeLocal","Standard","47","3","F","M","0","38538.40","N","12.326667","T"
"110","1","0","11","0","CC","Budget","Standard","14","3","F","S","2","21021.60","Y","62.753333","T"
"111","25","0","179","0","CC","FreeLocal","Standard","206","2","M","S","0","74460.70","Y","55.34","T"
"120","29","0","52","0","Auto","FreeLocal","Standard","82","2","F","M","2","62061.80","Y","45.92","F"
"121","27","0","57","0","CC","Budget","Standard","85","3","F","M","1","20550.90","Y","22.12","T"
"127","22","0","34","0","Auto","Budget","Standard","57","2","F","S","2","19131.10","N","56.186667","T"
"130","0","0","3","0","CC","Budget","Standard","3","4","F","S","2","83073.70","N","39.553333","F"
"133","20","1","112","0","Auto","Budget","Intnl_discount","134","1","M","M","2","42750.30","Y","50.493333","F"
"135","0","0","0","0","Auto","Budget","Intnl_discount","0","2","F","S","2","2842.55","N","45.92","T"
"136","15","1","12","0","CC","Budget","Standard","29","1","M","M","2","22358.10","N","52.626667","F"
"140","28","0","161","0","CC","FreeLocal","Intnl_discount","190","2","F","S","0","7325.50","N","36.92","T"
"142","6","0","58","0","CC","Budget","Standard","64","1","M","M","2","28766.90","N","46.84","F"
"148","26","0","13","0","CC","FreeLocal","Standard","40","3","M","M","2","91272.20","Y","25.033333","F"
